Annee,Quarter,Date,modele,unites_vendues
2020,2,2020-06-30,unites_vendues,
2020,3,2020-09-30,unites_vendues,
2020,4,2020-12-31,unites_vendues,
2019,1,2019-03-31,unites_vendues,
2019,2,2019-06-30,unites_vendues,
2019,3,2019-09-30,unites_vendues,
2019,4,2019-12-31,unites_vendues,
2018,1,2018-03-31,unites_vendues,879
2018,2,2018-06-30,unites_vendues,1 242
2018,3,2018-09-30,unites_vendues,919
2018,4,2018-12-31,unites_vendues,1 313
2017,1,2017-03-31,unites_vendues,855
2017,2,2017-06-30,unites_vendues,782
2017,3,2017-09-30,unites_vendues,709
2017,4,2017-12-31,unites_vendues,962
2016,1,2016-03-31,unites_vendues,701
2016,2,2016-06-30,unites_vendues,1 102
2016,3,2016-09-30,unites_vendues,939
2016,4,2016-12-31,unites_vendues,1 437
