Entreprise,Nom_fichier,Type,Annee,Immobilisations incorporelles,Immobilisations corporelles,Produits loués,Participations comptabilisées,Autres investissements,Créances de financement des ventes,Actifs financiers,Taxe différée,Autres actifs,Inventaires,Créances clients,Créances de financement des ventes.1,Impôt actuel,Trésorerie et équivalents de trésorerie,Total des actifs,Participations comptabilisées selon la méthode de la mise en équivalence,Bénéfice/perte avant impôt,Impôts sur le revenu payés,Intérêts reçus,Autres intérêts et produits/charges assimilés ,Amortissements et dépréciations des immobilisations corporelles et incorporelles,Autres produits et charges non monétaires,Résultat des investissements,Variation des produits loués,Variation des créances liées au financement des ventes,Variation du fonds de roulement,Variation des stocks,Variation des créances commerciales,Variation des dettes commerciales,Variation des provisions,Variation des autres actifs et passifs opérationnels,Flux de trésorerie entrants/sortants liés aux activités opérationnelles,Investissement total dans les immobilisations incorporelles et corporelles,Produit des subventions pour les immobilisations incorporelles et les immobilisations corporelles,Produits de cession d'immobilisations incorporelles et d'immobilisations corporelles,Dépenses pour les actifs d'investissement,Produits de la cession d'actifs de placement et d'autres unités opérationnelles,Investissements en titres négociables et fonds d'investissement,Produits de la vente de titres négociables et de fonds d'investissement,Flux de trésorerie entrants/sortants liés aux activités d'investissement,Apports en capitaux propres,Paiement du dividende de l'année précédente,Opérations de financement et transactions sur capitaux propres intragroupe,Intérêts payés,Produit de l'émission de passifs financiers non courants,Remboursement de passifs financiers non courants,Variation des autres passifs financiers,Flux de trésorerie entrants/sortants liés aux activités de financement,Effet des variations de  taux de change sur la trésorerie et les équivalents de trésorerie,Effet des changements dans la composition du Groupe sur la trésorerie et les équivalents de trésorerie,Variation de la trésorerie et des équivalents de trésorerie,Trésorerie et équivalents de trésorerie au 1er janvier,Trésorerie et équivalents de trésorerie au 31 décembre,Flux de trésorerie liés aux activités d'investissement,Revenus,Excédent brut d'exploitation,Marge d'exploitation,Rentabilité économique RoCE,Flux de trésorerie disponible,Actifs financiers nets,Date,Quarter,Rentabilité financière RoE,Ratio de pénétration,Nouveaux contrats avec des particuliers,Bénéfice avant impôt,Rentabilité opérationnelle,Bénéfice net,Dépenses en capital,Ratio d'investissement,Dépenses de recherche et développement R&D,Ratio R&D,Sales volume (deliveries to customers) units,Production volume units,Capital souscrit,Réserves de capital,Réserves de revenus,Autres capitaux propres accumulés,Intérêts minoritaires,Capitaux propres,Provisions pour risques et charges,autres provisions,Passifs financiers,Autres passifs,Dettes commerciales,Dettes,Total des capitaux propres et du passif,Capitaux propres attribuables aux actionnaires,modele,unites_vendues,Résultats opérationnels,Marge brute,Résultat financier,Bénéfices avant impôt,Bénéfice net de l'année,vente,Continents,Pays
BMW,Actifs_BMW,Automotive,2017,8981.0,18050.0,,2769.0,4985.0,,6880.0,2857.0,26795.0,12103.0,2354.0,,714.0,7157.0,93645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Automotive,2016,7705.0,17566.0,,2546.0,5195.0,,6149.0,4310.0,25604.0,11344.0,2502.0,,1000.0,4794.0,88715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Motorcycles,2021,167.0,468.0,,,,,0.0,,3.0,656.0,91.0,,,9.0,1394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Motorcycles,2020,155.0,401.0,,,,,0.0,,35.0,687.0,219.0,,,5.0,1502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Motorcycles,2019,127.0,407.0,,,,,0.0,,37.0,679.0,186.0,,,11.0,1447.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Motorcycles,2018,95.0,399.0,,,,,0.0,,35.0,568.0,167.0,,,12.0,1276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Motorcycles,2017,57.0,388.0,,,,,0.0,,37.0,580.0,160.0,,,8.0,1230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Motorcycles,2016,46.0,365.0,,,,,0.0,,30.0,492.0,144.0,,,,1077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Financial Services,2021,374.0,67.0,52017.0,,21.0,51808.0,701.0,618.0,8074.0,404.0,94.0,35705.0,83.0,3471.0,153437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Financial Services,2020,377.0,78.0,48759.0,,20.0,48082.0,773.0,550.0,8881.0,818.0,100.0,36252.0,64.0,2863.0,147617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Financial Services,2019,389.0,89.0,50348.0,,1.0,51079.0,1148.0,512.0,8457.0,808.0,103.0,41407.0,84.0,2075.0,156500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Financial Services,2018,403.0,30.0,46427.0,,1.0,48109.0,1463.0,483.0,9046.0,17.0,91.0,38674.0,79.0,1985.0,146808.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Financial Services,2017,425.0,33.0,44285.0,,2.0,48321.0,1707.0,442.0,8413.0,24.0,152.0,32113.0,55.0,1856.0,137828.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,Actifs_BMW,Financial Services,2016,405.0,29.0,45134.0,,3.0,48032.0,1725.0,389.0,8510.0,5.0,178.0,30228.0,44.0,3046.0,137728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VW,actifs_VW,Group,2022,83241.0,63890.0,59380.0,,610.0,90039.0,28999.0,12921.0,45493.0,52274.0,18581.0,62282.0,1732.0,29172.0,564771.0,16157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VW,actifs_VW,Group,2021,77689.0,63695.0,59699.0,,615.0,87849.0,21740.0,13390.0,30640.0,43725.0,15521.0,57172.0,1618.0,39723.0,528607.0,15531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VW,actifs_VW,Group,2020,67968.0,63884.0,50686.0,,558.0,85432.0,21068.0,13486.0,28922.0,43823.0,16243.0,58006.0,1186.0,33909.0,497116.0,11945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VW,actifs_VW,Group,2019,66214.0,66152.0,48938.0,,538.0,89695.0,17767.0,13106.0,24382.0,46742.0,17941.0,59410.0,1190.0,25923.0,488069.0,10071.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VW,actifs_VW,Group,2018,64613.0,57630.0,43545.0,,496.0,81302.0,18107.0,10131.0,23759.0,45745.0,17888.0,54216.0,1879.0,28938.0,458157.0,9908.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VW,actifs_VW,Group,2017,63419.0,55243.0,39254.0,,468.0,75501.0,20453.0,9813.0,21692.0,40415.0,13357.0,53260.0,1339.0,18457.0,422194.0,9523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VW,actifs_VW,Group,2016,62599.0,54033.0,38439.0,,512.0,70411.0,20097.0,9756.0,23042.0,38978.0,12187.0,49673.0,1126.0,19265.0,409730.0,9612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VW,actifs_VW,Group,2015,61147.0,50171.0,33173.0,,504.0,64525.0,16773.0,8026.0,20769.0,35048.0,11132.0,46888.0,1029.0,20871.0,381934.0,11878.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VW,actifs_VW,Group,2014,59935.0,46169.0,27585.0,,485.0,59531.0,14191.0,5878.0,16407.0,31466.0,11472.0,44398.0,1010.0,19123.0,351207.0,13557.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VW,actifs_VW,Group,2013,59243.0,42389.0,22259.0,,427.0,52654.0,13631.0,5622.0,14158.0,28653.0,11133.0,38386.0,729.0,23178.0,324337.0,11875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VW,actifs_VW,Group,2012,59112.0,39424.0,20034.0,,433.0,51456.0,12302.0,7836.0,12808.0,28674.0,10099.0,36911.0,761.0,18488.0,309517.0,11179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,cashflow_BMW,group,2021,,,,,,,,,,,,,,,,,16060.0,-3217.0,130.0,78.0,6495.0,-713.0,-1520.0,-1282.0,965.0,1355.0,-563.0,119.0,1799.0,-1256.0,-1192.0,15903.0,-6619.0,54.0,40.0,-158.0,263.0,-271.0,302.0,-6389.0,103.0,-1277.0,,-217.0,224916.0,-232089.0,1829.0,-6735.0,-307.0,,2472.0,13537.0,16009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,cashflow_BMW,group,2020,,,,,,,,,,,,,,,,,5222.0,-1605.0,163.0,104.0,6139.0,99.0,-920.0,-1016.0,4192.0,-996.0,370.0,160.0,-1526.0,1115.0,754.0,13251.0,-6150.0,53.0,34.0,-176.0,1328.0,-925.0,2200.0,-3636.0,28.0,-1671.0,,-275.0,164478.0,-171532.0,718.0,-8254.0,180.0,-40.0,1501.0,12036.0,13537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,cashflow_BMW,group,2019,,,,,,,,,,,,,,,,,7118.0,-3389.0,91.0,51.0,6017.0,-200.0,-136.0,-3825.0,-3560.0,-1117.0,-1560.0,14.0,429.0,1512.0,1096.0,3662.0,-6902.0,50.0,32.0,-1598.0,1087.0,-775.0,822.0,-7284.0,33.0,-2366.0,,-199.0,150517.0,-143500.0,305.0,4790.0,-28.0,-83.0,1057.0,10979.0,12036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,cashflow_BMW,group,2018,,,,,,,,,,,,,,,,,9627.0,-1972.0,170.0,-199.0,5113.0,111.0,-632.0,-1693.0,-5670.0,-573.0,-357.0,112.0,-328.0,-82.0,697.0,5051.0,-7777.0,21.0,107.0,-164.0,623 5,-3725.0,3761.0,-7363.0,25.0,-2630.0,,-136.0,30762.0,-22564.0,-1161.0,4296.0,-19.0,-25.0,1940.0,9039.0,10979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,cashflow_BMW,group,2017,,,,,,,,,,,,,,,,,8706.0,-2301.0,125.0,65.0,4822.0,-249.0,-738.0,-1134.0,-7440.0,166.0,-1293.0,45.0,1414.0,696.0,1285.0,5909.0,-7112.0,,30.0,-142.0,1236.0,-4041.0,3866.0,-6163.0,38.0,-2324.0,,-165.0,12061.0,-9374.0,11894.0,-7427.0,-4084.0,64.0,1159.0,7880.0,9039.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,cashflow_BMW,group,2016,,,,,,,,,,,,,,,,,6910.0,-2417.0,142.0,131.0,4998.0,-15.0,-441.0,-2526.0,-8368.0,-104.0,-749.0,-93.0,738.0,883.0,1229.0,3173.0,-5823.0,,10.0,-338.0,140.0,-3592.0,3740.0,-5863.0,20.0,-2121.0,,-118.0,13974.0,-10374.0,8952.0,-8443.0,4135.0,38.0,1758.0,6122.0,7880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,cashflow_BMW,automotive,2021,,,,,,,,,,,,,,,,,11805.0,-1805.0,220.0,115.0,6341.0,-470.0,-1520.0,,,762.0,-1032.0,-16.0,1810.0,-1440.0,-1425.0,12583.0,-6439.0,43.0,39.0,-132.0,260.0,-16.0,37.0,-6208.0,103.0,-1277.0,-1545.0,-367.0,,-659.0,,-3745.0,-143.0,,2487.0,9522.0,12009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
